country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",19-10-2025 20:00,17.528544,78.286195,SO2,17,38,23
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",19-10-2025 20:00,17.4559458,78.4332152,PM2.5,130,299,179
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",19-10-2025 20:00,17.4559458,78.4332152,NO2,26,31,28
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB",19-10-2025 20:00,17.460103,78.334361,PM2.5,44,61,53
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB",19-10-2025 20:00,17.460103,78.334361,NH3,3,13,7
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",19-10-2025 20:00,17.470431,78.566959,PM2.5,60,71,65
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",19-10-2025 20:00,17.470431,78.566959,NO2,5,37,12
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",19-10-2025 20:00,17.470431,78.566959,NH3,3,6,5
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",19-10-2025 20:00,17.470431,78.566959,CO,12,36,20
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",19-10-2025 20:00,17.5184,78.278777,OZONE,9,64,55
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",19-10-2025 20:00,17.5316895,78.218939,PM10,104,158,135
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",19-10-2025 20:00,17.5316895,78.218939,NO2,8,44,28
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",19-10-2025 20:00,17.5316895,78.218939,OZONE,9,23,19
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB",19-10-2025 20:00,17.585705,78.126199,PM10,NA,NA,NA
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB",19-10-2025 20:00,17.585705,78.126199,CO,NA,NA,NA
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB",19-10-2025 20:00,17.585705,78.126199,OZONE,28,29,28
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",19-10-2025 20:00,17.4559458,78.4332152,CO,8,20,16
